web-scraper-order,web-scraper-start-url,imagen-src,titulo,precio
"1705872271-12","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1073/10733294/1616-hp-victus-16-s0011ns-amd-ryzen-7-7840hs-32gb-1tb-ssd-rtx-4060-161.jpg","HP Victus 16-s0011ns AMD Ryzen 7 7840HS/32GB/1TB SSD/RTX 4060/16.1""","1.199€"
"1705872271-13","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674403/1102-pccom-revolt-4060-intel-core-i7-13700h-16gb-500gb-ssd-rtx-4060-156-windows-11-home-comprar.jpg","PcCom Revolt 4060 Intel Core i7-13700H/16GB/500GB SSD/RTX 4060/15.6"" + Windows 11 Home",""
"1705872271-14","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1073/10733314/1431-hp-omen-transcend-16-u0002ns-intel-core-i7-13700hx-32gb-1tbssd-rtx4070-161-hyperx-cloud-core-ii-opiniones.jpg","HP OMEN Transcend 16-u0002ns Intel Core i7-13700HX/32GB/1TBSSD/RTX4070/16.1""+HyperX Cloud Core II","2.499€"
"1705872271-15","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1075/10756038/1708-asus-tuf-gaming-f15-fx506he-hn001-intel-core-i7-11800h-16gb-512gb-ssd-rtx-3050ti-156.jpg","ASUS TUF Gaming F15 FX506HE-HN001 Intel Core i7-11800H/16GB/512GB SSD/RTX 3050Ti/15.6""","949€"
"1705872271-16","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10743149/193-msi-creator-z17-hx-studio-a13vft-050es-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4060-17-tactil.jpg","MSI Creator Z17 HX Studio A13VFT-050ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/17"" Táctil","2.299€"
"1705872271-17","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10742873/1429-msi-stealth-17-studio-a13vh-097xes-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4080-173.jpg","MSI Stealth 17 Studio A13VH-097XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4080/17.3""","2.599€"
"1705872271-18","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1019/10190891/1700-razer-blade-14-165hz-amd-ryzen-9-6900hx-16gb-1tb-ssd-rtx-3080ti-14.jpg","Razer Blade 14 165Hz AMD Ryzen 9 6900HX/16GB/1TB SSD/RTX 3080Ti/14""","1.897,4€"
"1705872271-19","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1081/10811364/1355-razer-blade-16-2024-dual-uhd-fhd-intel-core-i9-14900hx-64gb-4tb-ssd-rtx-4090-16.jpg","Razer Blade 16 2024 Dual UHD+FHD+ Intel Core i9-14900HX/64GB/4TB SSD/RTX 4090/16""","5.299€"
"1705872271-20","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10678486/1240-msi-summit-e16-flip-a13vet-084xes-intel-core-i7-1360p-32gb-1tb-ssd-rtx-4050-16-tactil.jpg","MSI Summit E16 Flip A13VET-084XES Intel Core i7-1360P/32GB/1TB SSD/RTX 4050/16"" Táctil","1.699€"
"1705872271-21","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1075/10754262/1833-msi-creator-z16-hx-studio-a13vgta-009es-intel-core-i9-13980hx-64gb-1tb-ssd-rtx-4070-16-tactil.jpg","MSI Creator Z16 HX Studio A13VGTA-009ES Intel Core i9-13980HX/64GB/1TB SSD/RTX 4070/16"" Táctil","2.881,26€"
"1705872271-22","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1048/10488630/1553-razer-blade-15-oled-qhd-intel-core-i9-12900h-16gb-1tb-ssd-rtx-3070ti-156.jpg","Razer Blade 15 OLED QHD Intel Core i9-12900H/16GB/1TB SSD/RTX 3070Ti/15.6""","3.698,99€"
"1705872271-23","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10740460/1999-msi-raider-ge78hx-13vh-413es-intel-core-i9-13980hx-32gb-2tb-ssd-rtx-4080-17.jpg","MSI Raider GE78HX 13VH-413ES Intel Core i9-13980HX/32GB/2TB SSD/RTX 4080/17""","3.048,99€"
"1705872271-24","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10742766/1554-msi-stealth-17-studio-a13vi-092es-intel-core-i9-13900h-32gb-2tb-ssd-rtx-4090-173.jpg","MSI Stealth 17 Studio A13VI-092ES Intel Core i9-13900H/32GB/2TB SSD/RTX 4090/17.3""","3.199€"
"1705872271-25","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1064/10644271/1662-razer-blade-18-qhd-240hz-intel-core-i9-13950hx-32gb-1tb-ssd-rtx-4070-18.jpg","Razer Blade 18 QHD+ 240Hz Intel Core i9-13950HX/32GB/1TB SSD/RTX 4070/18""","3.549€"
"1705872271-26","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1065/10650215/1490-acer-predator-triton-300-se-pt314-52s-76f0-intel-core-i7-12700h-16gb-512gb-ssd-rtx-3060-14-37051004-1b97-4be5-bbb6-161abfc7eaf6.jpg","Acer Predator Triton 300 SE PT314-52s-76F0 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/14""","1.799€"
"1705872271-27","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10741375/1458-pccom-revolt-4070-intel-core-i7-13700hx-32gb-500gb-ssd-rtx-4070-156-windows-11-home-comprar.jpg","PcCom Revolt 4070 Intel Core i7-13700HX/32GB/500GB SSD/RTX 4070/15.6"" + Windows 11 Home",""
"1705872271-28","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674843/1484-msi-prestige-16-studio-a13vf-041es-intel-core-i7-13700h-32gb-1tb-ssd-rtx-4060-16.jpg","MSI Prestige 16 Studio A13VF-041ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""","1.799€"
"1705872271-29","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1074/10741672/1167-msi-raider-ge78hx-13vi-419es-intel-core-i9-13980hx-32gb-1tb-ssd-rtx-4090-17-482a2889-4edb-4211-af5a-4bfda8591636.jpg","MSI Raider GE78HX 13VI-419ES Intel Core i9-13980HX/32GB/2TB SSD/RTX 4090/17""","3.299€"
"1705872271-30","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1066/10663047/1124-asus-rog-strix-scar-18-2023-g834jz-n6004w-intel-core-i9-13980hx-32gb-1tb-ssd-rtx-4080-18.jpg","ASUS ROG Strix Scar 18 2023 G834JZ-N6004W Intel Core i9-13980HX/32GB/1TB SSD/RTX 4080/18""","3.099€"
"1705872271-31","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1079/10790399/1838-pccom-revolt-4090-intel-core-i9-13900hx-32gb-2tb-ssd-rtx-4090-16.jpg","PcCom Revolt 4090 Intel Core i9-13900HX/32GB/2TB SSD/RTX 4090/16""",""
"1705872271-32","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674846/1968-medion-erazer-deputy-p50-intel-core-i7-13700hx-16gb-1tb-ssd-rtx-4060-156.jpg","Medion Erazer Deputy P50 Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/15.6""","1.599€"
"1705872271-33","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10670537/1618-asus-rog-zephyrus-g16-2023-gu603vv-n4005-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4060-16.jpg","ASUS ROG Zephyrus G16 2023 GU603VV-N4005 Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/16""",""
"1705872271-34","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1064/10644258/1259-razer-blade-16-qhd-intel-core-i9-13950hx-16gb-1tb-ssd-rtx-4060-16.jpg","Razer Blade 16 QHD+ Intel Core i9-13950HX/16GB/1TB SSD/RTX 4060/16""",""
"1705872271-35","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10670519/1748-asus-rog-zephyrus-m16-2023-gu604vz-nm008w-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4080-16-6795def1-971f-41cf-aab9-affd14de25b2.jpg","ASUS ROG Zephyrus M16 2023 GU604VZ-NM008W Intel Core i9-13900H/32GB/1TB SSD/RTX 4080/16""","2.999€"
"1705872271-36","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1037/10370445/1137-hp-omen-16-b1022ns-intel-core-i7-12700h-32gb-1tb-ssd-512gb-ssd-rtx-3060-161.jpg","HP OMEN 16-b1022ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/16.1''","1.619€"
"1705872271-37","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1073/10733311/1199-hp-omen-16-wf0006ns-intel-core-i7-13700hx-32gb-1tb-ssd-rtx-4080-161-hyperx-cloud-core-ii.jpg","HP OMEN 16-wf0006ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/16.1"" + HyperX Cloud Core II","2.299€"
"1705872271-38","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1079/10799520/1792-msi-katana-15-b13vgk-1407xes-intel-core-i7-13700h-32gb-1tb-ssd-rtx-4070-173.jpg","MSI Katana 15 B13VGK-1407XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/15.6""","2.066,86€"
"1705872271-39","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1065/10655757/1125-hp-victus-16-d1040ns-intel-core-i7-12700h-32gb-512gb-ssd-rtx-3060-161.jpg","HP Victus 16-d1040ns Intel Core i7-12700H/32GB/512GB SSD/RTX 3060/16.1''","1.449€"
"1705872271-40","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1067/10674828/1762-msi-prestige-16-studio-a13ve-045xes-intel-core-i7-13700h-32gb-1tb-ssd-rtx-4050-16-e49cdcc3-9da0-4076-8a0e-a39d1cddde47.jpg","MSI Prestige 16 Studio A13VE-045XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""","1.568,99€"
"1705872271-41","https://www.pccomponentes.com/portatiles/pc-para-gaming","https://thumb.pccomponentes.com/w-300-300/articles/1071/10717382/1719-asus-rog-flow-x16-2023-gv601vi-nl017w-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4070-16-tactil.jpg","ASUS ROG Flow X16 2023 GV601VI-NL017W Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16'' Táctil","2.699€"
